equilibrium,n_i,n_j,FC,player,action,probability
0,0,1,9,2,4,1.2659917194838884e-14
0,0,1,9,1,5,4.246929091208848e-18
0,0,1,9,2,5,4.246929091208848e-18
0,0,1,9,1,6,1.4246859934525468e-21
0,0,1,9,2,6,1.4246859934525468e-21
0,0,1,9,1,7,4.77928907299492e-25
0,0,1,9,2,7,4.77928907299492e-25
0,0,1,9,1,8,1.603272871932636e-28
0,0,1,9,2,8,1.603272871932636e-28
0,0,1,9,1,9,5.378381308633294e-32
0,0,1,9,2,9,5.378381308633294e-32
0,0,1,9,1,10,1.8042459276558754e-35
0,0,1,9,2,10,1.8042459276558754e-35
0,0,1,9,1,11,6.052570802738451e-39
0,0,1,9,2,11,6.052570802738451e-39
0,0,1,10,1,0,0.9998765901959132
0,0,1,10,2,0,0.9998765901959132
0,0,1,10,1,1,0.00012339457410693482
0,0,1,10,2,1,0.00012339457410693482
0,0,1,10,1,2,1.5228100215896087e-08
0,0,1,10,2,2,1.5228100215896087e-08
0,0,1,10,1,3,1.8792968642560585e-12
0,0,1,10,2,3,1.8792968642560585e-12
0,0,1,10,1,4,2.3192365783855145e-16
0,0,1,10,2,4,2.3192365783855145e-16
0,0,1,10,1,5,2.8621653176921735e-20
0,0,1,10,2,5,2.8621653176921735e-20
0,0,1,10,1,6,3.5321926112008004e-24
0,0,1,10,2,6,3.5321926112008004e-24
0,0,1,10,1,7,4.359071981447078e-28
0,0,1,10,2,7,4.359071981447078e-28
0,0,1,10,1,8,5.37952219230118e-32
0,0,1,10,2,8,5.37952219230118e-32
0,0,1,10,1,9,6.638857798318335e-36
0,0,1,10,2,9,6.638857798318335e-36
0,0,1,10,1,10,8.193001402497903e-40
0,0,1,10,2,10,8.193001402497903e-40
0,0,1,10,1,11,1.0110966979641572e-43
0,0,1,10,2,11,1.0110966979641572e-43
0,0,2,1,1,0,0.08333333333333333
0,0,2,1,2,0,0.08333333333333333
0,0,2,1,1,1,0.08333333333333333
0,0,2,1,2,1,0.08333333333333333
0,0,2,1,1,2,0.08333333333333333
0,0,2,1,2,2,0.08333333333333333
0,0,2,1,1,3,0.08333333333333333
0,0,2,1,2,3,0.08333333333333333
0,0,2,1,1,4,0.08333333333333333
0,0,2,1,2,4,0.08333333333333333
0,0,2,1,1,5,0.08333333333333333
0,0,2,1,2,5,0.08333333333333333
0,0,2,1,1,6,0.08333333333333333
0,0,2,1,2,6,0.08333333333333333
0,0,2,1,1,7,0.08333333333333333
0,0,2,1,2,7,0.08333333333333333
0,0,2,1,1,8,0.08333333333333333
0,0,2,1,2,8,0.08333333333333333
0,0,2,1,1,9,0.08333333333333333
0,0,2,1,2,9,0.08333333333333333
0,0,2,1,1,10,0.08333333333333333
0,0,2,1,2,10,0.08333333333333333
0,0,2,1,1,11,0.08333333333333333
0,0,2,1,2,11,0.08333333333333333
0,0,2,2,1,0,0.6321244427353676
0,0,2,2,2,0,0.6321244427353676
0,0,2,2,1,1,0.23254558674429643
0,0,2,2,2,1,0.23254558674429643
0,0,2,2,1,2,0.08554874049837694
0,0,2,2,2,2,0.08554874049837694
0,0,2,2,1,3,0.031471622847463646
0,0,2,2,2,3,0.031471622847463646
0,0,2,2,1,4,0.01157776302588332
0,0,2,2,2,4,0.01157776302588332
0,0,2,2,1,5,0.004259220991977343
0,0,2,2,2,5,0.004259220991977343
0,0,2,2,1,6,0.0015668798383543013
0,0,2,2,2,6,0.0015668798383543013
0,0,2,2,1,7,0.0005764228793165802
0,0,2,2,2,7,0.0005764228793165802
0,0,2,2,1,8,0.00021205412672141728
0,0,2,2,2,8,0.00021205412672141728
0,0,2,2,1,9,7.80103536363732e-05
0,0,2,2,2,9,7.80103536363732e-05
0,0,2,2,1,10,2.869840530133557e-05
0,0,2,2,2,10,2.869840530133557e-05
0,0,2,2,1,11,1.0557553304766886e-05
0,0,2,2,2,11,1.0557553304766886e-05
0,0,2,3,1,0,0.8646647167960294
0,0,2,3,2,0,0.8646647167960294
0,0,2,3,1,1,0.11701964435229614
0,0,2,3,2,1,0.11701964435229614
0,0,2,3,1,2,0.01583688671266568
0,0,2,3,2,2,0.01583688671266568
0,0,2,3,1,3,0.0021432895488447583
